Date,symbol,adj_close,ret
2015-02-27,AMZN,19.01,0.07219402143260023
2015-03-31,AMZN,18.61,-0.021041557075223705
2015-04-30,AMZN,21.09,0.13326168726491128
2015-05-29,AMZN,21.46,0.01754385964912286
2015-06-30,AMZN,21.7,0.011183597390493905
2015-07-31,AMZN,26.81,0.23548387096774182
2015-08-31,AMZN,25.64,-0.04364043267437512
2015-09-30,AMZN,25.59,-0.0019500780031201925
2015-10-30,AMZN,31.3,0.22313403673309895
2015-11-30,AMZN,33.24,0.061980830670926634
2015-12-31,AMZN,33.79,0.016546329723224895
2016-01-29,AMZN,29.35,-0.13139982243267234
2016-02-29,AMZN,27.63,-0.058603066439523066
2016-03-31,AMZN,29.68,0.074194715888527
2016-04-29,AMZN,32.98,0.11118598382749312
2016-05-31,AMZN,36.14,0.09581564584596736
2016-06-30,AMZN,35.78,-0.009961261759822926
2016-07-29,AMZN,37.94,0.060368921185019575
2016-08-31,AMZN,38.46,0.01370585134422786
2016-09-30,AMZN,41.87,0.08866354654186148
2016-10-31,AMZN,39.49,-0.05684260807260555
2016-11-30,AMZN,37.53,-0.049632818435046855
2016-12-30,AMZN,37.49,-0.0010658140154542473
2017-01-31,AMZN,41.17,0.09815950920245387
2017-02-28,AMZN,42.25,0.02623269370901138
2017-03-31,AMZN,44.33,0.04923076923076919
2017-04-28,AMZN,46.25,0.04331152718249487
2017-05-31,AMZN,49.73,0.07524324324324327
2017-06-30,AMZN,48.4,-0.026744419867283264
2017-07-31,AMZN,49.39,0.020454545454545503
2017-08-31,AMZN,49.03,-0.007288924883579684
2017-09-29,AMZN,48.07,-0.019579849071996724
2017-10-31,AMZN,55.26,0.1495735385895569
2017-11-30,AMZN,58.84,0.06478465436120162
2017-12-29,AMZN,58.47,-0.0062882392929980435
2018-01-31,AMZN,72.54,0.24063622370446391
2018-02-28,AMZN,75.62,0.042459332781913384
2018-03-29,AMZN,72.37,-0.04297804813541395
2018-04-30,AMZN,78.31,0.08207820920270836
2018-05-31,AMZN,81.48,0.04048014302132552
2018-06-29,AMZN,84.99,0.04307805596465375
2018-07-31,AMZN,88.87,0.04565242969761152
2018-08-31,AMZN,100.64,0.13244064363677266
2018-09-28,AMZN,100.15,-0.004868839427662919
2018-10-31,AMZN,79.9,-0.20219670494258613
2018-11-30,AMZN,84.51,0.057697121401752094
2018-12-31,AMZN,75.1,-0.11134776949473446
2019-01-31,AMZN,85.94,0.144340878828229
2019-02-28,AMZN,81.99,-0.04596229927856643
2019-03-29,AMZN,89.04,0.08598609586534955
2019-04-30,AMZN,96.33,0.08187331536388132
2019-05-31,AMZN,88.75,-0.07868784387003014
2019-06-28,AMZN,94.68,0.06681690140845076
